"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLCCEUS","198710","1.123","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198711","1.188","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198712","1.52","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198713","11.835","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198801","1.441","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198802","1.183","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198803","0.872","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198804","1.061","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198805","0.624","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198806","0.767","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198807","1.183","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198808","1.148","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198809","0.677","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198810","0.778","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198811","1.036","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198812","1.664","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198813","12.433","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198901","1.124","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198902","1.232","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198903","0.91","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198904","0.907","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198905","0.597","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198906","0.526","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198907","0.881","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198908","0.799","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198909","0.566","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198910","0.373","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198911","0.942","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198912","2.104","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","198913","10.96","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199001","1.268","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199002","1.166","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199003","0.98","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199004","0.946","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199005","0.641","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199006","0.663","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199007","0.951","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199008","0.886","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199009","0.728","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199010","0.735","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199011","1.11","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199012","1.883","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199013","11.955","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199101","1.575","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199102","1.105","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199103","0.987","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199104","0.736","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199105","0.603","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199106","0.587","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199107","0.779","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLCCEUS","199108","0.705","1","Coal Commercial Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
