city,latitude,longitude,year,month,day,temperature
New York,40.6943,-73.9249,2018,10,2,20.46
New York,40.6943,-73.9249,2018,10,3,19.87
New York,40.6943,-73.9249,2018,10,4,19.24
New York,40.6943,-73.9249,2018,10,5,17.96
New York,40.6943,-73.9249,2018,10,6,21.64
New York,40.6943,-73.9249,2018,10,7,19.67
New York,40.6943,-73.9249,2018,10,8,21.1
New York,40.6943,-73.9249,2018,10,9,22.41
New York,40.6943,-73.9249,2018,10,10,22.91
New York,40.6943,-73.9249,2018,10,11,18.05
New York,40.6943,-73.9249,2018,10,12,11.86
New York,40.6943,-73.9249,2018,10,13,11.88
New York,40.6943,-73.9249,2018,10,14,15.12
New York,40.6943,-73.9249,2018,10,15,13.88
New York,40.6943,-73.9249,2018,10,16,11.99
New York,40.6943,-73.9249,2018,10,17,9.33
New York,40.6943,-73.9249,2018,10,18,9.65
New York,40.6943,-73.9249,2018,10,19,14.24
New York,40.6943,-73.9249,2018,10,20,9.78
New York,40.6943,-73.9249,2018,10,21,7.13
New York,40.6943,-73.9249,2018,10,22,11.65
New York,40.6943,-73.9249,2018,10,23,10.41
New York,40.6943,-73.9249,2018,10,24,8.02
New York,40.6943,-73.9249,2018,10,25,6.57
New York,40.6943,-73.9249,2018,10,26,9.88
New York,40.6943,-73.9249,2018,10,27,9.87
New York,40.6943,-73.9249,2018,10,28,11.4
New York,40.6943,-73.9249,2018,10,29,9.33
New York,40.6943,-73.9249,2018,10,30,10.38
New York,40.6943,-73.9249,2018,10,31,15.17
New York,40.6943,-73.9249,2018,11,1,18.39
New York,40.6943,-73.9249,2018,11,2,15.04
New York,40.6943,-73.9249,2018,11,3,9.49
New York,40.6943,-73.9249,2018,11,4,10.24
New York,40.6943,-73.9249,2018,11,5,12.35
New York,40.6943,-73.9249,2018,11,6,13.63
New York,40.6943,-73.9249,2018,11,7,11.42
New York,40.6943,-73.9249,2018,11,8,8.07
New York,40.6943,-73.9249,2018,11,9,8.29
New York,40.6943,-73.9249,2018,11,10,4.35
New York,40.6943,-73.9249,2018,11,11,5.28
New York,40.6943,-73.9249,2018,11,12,8.95
New York,40.6943,-73.9249,2018,11,13,4.79
New York,40.6943,-73.9249,2018,11,14,0.9
New York,40.6943,-73.9249,2018,11,15,4.93
New York,40.6943,-73.9249,2018,11,16,5.93
New York,40.6943,-73.9249,2018,11,17,5.74
New York,40.6943,-73.9249,2018,11,18,6.94
New York,40.6943,-73.9249,2018,11,19,7.07
New York,40.6943,-73.9249,2018,11,20,4.58
New York,40.6943,-73.9249,2018,11,21,-2.06
New York,40.6943,-73.9249,2018,11,22,-4.77
New York,40.6943,-73.9249,2018,11,23,2.06
New York,40.6943,-73.9249,2018,11,24,9.08
New York,40.6943,-73.9249,2018,11,25,8.42
New York,40.6943,-73.9249,2018,11,26,6.81
New York,40.6943,-73.9249,2018,11,27,3.95
New York,40.6943,-73.9249,2018,11,28,5.29
New York,40.6943,-73.9249,2018,11,29,3.29
New York,40.6943,-73.9249,2018,11,30,3.92
New York,40.6943,-73.9249,2018,12,1,8.98
New York,40.6943,-73.9249,2018,12,2,11.03
New York,40.6943,-73.9249,2018,12,3,5.15
New York,40.6943,-73.9249,2018,12,4,0.02
New York,40.6943,-73.9249,2018,12,5,1.06
New York,40.6943,-73.9249,2018,12,6,2.65
New York,40.6943,-73.9249,2018,12,7,-1.13
New York,40.6943,-73.9249,2018,12,8,-0.79
New York,40.6943,-73.9249,2018,12,9,0.25
New York,40.6943,-73.9249,2018,12,10,0.02
New York,40.6943,-73.9249,2018,12,11,1.83
New York,40.6943,-73.9249,2018,12,12,2.07
New York,40.6943,-73.9249,2018,12,13,5.55
New York,40.6943,-73.9249,2018,12,14,8.81
New York,40.6943,-73.9249,2018,12,15,6.13
New York,40.6943,-73.9249,2018,12,16,4.78
New York,40.6943,-73.9249,2018,12,17,2.45
New York,40.6943,-73.9249,2018,12,18,-0.16
New York,40.6943,-73.9249,2018,12,19,2.46
New York,40.6943,-73.9249,2018,12,20,12.31
New York,40.6943,-73.9249,2018,12,21,9.14
New York,40.6943,-73.9249,2018,12,22,4.41
New York,40.6943,-73.9249,2018,12,23,3.82
New York,40.6943,-73.9249,2018,12,24,2.88
New York,40.6943,-73.9249,2018,12,25,2.13
New York,40.6943,-73.9249,2018,12,26,3.18
New York,40.6943,-73.9249,2018,12,27,8.15
New York,40.6943,-73.9249,2018,12,28,10.23
New York,40.6943,-73.9249,2018,12,29,3.19
New York,40.6943,-73.9249,2018,12,30,3.55
New York,40.6943,-73.9249,2018,12,31,10.31
New York,40.6943,-73.9249,2019,1,1,3.48
New York,40.6943,-73.9249,2019,1,2,4.85
New York,40.6943,-73.9249,2019,1,3,3.43
New York,40.6943,-73.9249,2019,1,4,6.5
New York,40.6943,-73.9249,2019,1,5,5.85
New York,40.6943,-73.9249,2019,1,6,-0.48
New York,40.6943,-73.9249,2019,1,7,3.2
New York,40.6943,-73.9249,2019,1,8,5.96
New York,40.6943,-73.9249,2019,1,9,1.48
New York,40.6943,-73.9249,2019,1,10,-1.89
New York,40.6943,-73.9249,2019,1,11,-3.44
New York,40.6943,-73.9249,2019,1,12,-1.77
New York,40.6943,-73.9249,2019,1,13,-2.42
New York,40.6943,-73.9249,2019,1,14,-2.05
New York,40.6943,-73.9249,2019,1,15,-0.49
New York,40.6943,-73.9249,2019,1,16,-1.24
New York,40.6943,-73.9249,2019,1,17,0.16
New York,40.6943,-73.9249,2019,1,18,1.07
New York,40.6943,-73.9249,2019,1,19,2.61
New York,40.6943,-73.9249,2019,1,20,-10.8
New York,40.6943,-73.9249,2019,1,21,-7.23
New York,40.6943,-73.9249,2019,1,22,0.34
New York,40.6943,-73.9249,2019,1,23,9.31
New York,40.6943,-73.9249,2019,1,24,2.17
New York,40.6943,-73.9249,2019,1,25,-1.69
New York,40.6943,-73.9249,2019,1,26,2.03
New York,40.6943,-73.9249,2019,1,27,0.2
New York,40.6943,-73.9249,2019,1,28,-0.79
New York,40.6943,-73.9249,2019,1,29,-2.11
New York,40.6943,-73.9249,2019,1,30,-12.2
New York,40.6943,-73.9249,2019,1,31,-8.97
New York,40.6943,-73.9249,2019,2,1,-5.38
New York,40.6943,-73.9249,2019,2,2,1.27
New York,40.6943,-73.9249,2019,2,3,3.86
New York,40.6943,-73.9249,2019,2,4,5.66
New York,40.6943,-73.9249,2019,2,5,4.45
New York,40.6943,-73.9249,2019,2,6,4.6
New York,40.6943,-73.9249,2019,2,7,5.94
New York,40.6943,-73.9249,2019,2,8,-0.73
New York,40.6943,-73.9249,2019,2,9,-2.34
New York,40.6943,-73.9249,2019,2,10,0.12
New York,40.6943,-73.9249,2019,2,11,-0.65
New York,40.6943,-73.9249,2019,2,12,2.73
New York,40.6943,-73.9249,2019,2,13,2.45
New York,40.6943,-73.9249,2019,2,14,6.88
New York,40.6943,-73.9249,2019,2,15,5.64
New York,40.6943,-73.9249,2019,2,16,-0.35
New York,40.6943,-73.9249,2019,2,17,2.17
New York,40.6943,-73.9249,2019,2,18,-1.21
New York,40.6943,-73.9249,2019,2,19,-1.49
New York,40.6943,-73.9249,2019,2,20,3.64
New York,40.6943,-73.9249,2019,2,21,5.08
New York,40.6943,-73.9249,2019,2,22,2.19
New York,40.6943,-73.9249,2019,2,23,5.4
New York,40.6943,-73.9249,2019,2,24,4.63
New York,40.6943,-73.9249,2019,2,25,-0.17
New York,40.6943,-73.9249,2019,2,26,-2.83
New York,40.6943,-73.9249,2019,2,27,-0.42
New York,40.6943,-73.9249,2019,2,28,-0.49
New York,40.6943,-73.9249,2019,3,1,1.5
New York,40.6943,-73.9249,2019,3,2,2.98
New York,40.6943,-73.9249,2019,3,3,1.67
New York,40.6943,-73.9249,2019,3,4,-2.34
New York,40.6943,-73.9249,2019,3,5,-3.82
New York,40.6943,-73.9249,2019,3,6,-3.97
New York,40.6943,-73.9249,2019,3,7,-0.98
New York,40.6943,-73.9249,2019,3,8,2.62
New York,40.6943,-73.9249,2019,3,9,3.97
New York,40.6943,-73.9249,2019,3,10,6.62
New York,40.6943,-73.9249,2019,3,11,4.43
New York,40.6943,-73.9249,2019,3,12,2.3
New York,40.6943,-73.9249,2019,3,13,6.66
New York,40.6943,-73.9249,2019,3,14,12.34
New York,40.6943,-73.9249,2019,3,15,9.97
New York,40.6943,-73.9249,2019,3,16,3.73
New York,40.6943,-73.9249,2019,3,17,3.01
New York,40.6943,-73.9249,2019,3,18,4
New York,40.6943,-73.9249,2019,3,19,4.84
New York,40.6943,-73.9249,2019,3,20,7.19
New York,40.6943,-73.9249,2019,3,21,7.01
New York,40.6943,-73.9249,2019,3,22,5.07
New York,40.6943,-73.9249,2019,3,23,6.92
New York,40.6943,-73.9249,2019,3,24,9.32
New York,40.6943,-73.9249,2019,3,25,4.92
New York,40.6943,-73.9249,2019,3,26,3.46
New York,40.6943,-73.9249,2019,3,27,5.05
New York,40.6943,-73.9249,2019,3,28,9.44
New York,40.6943,-73.9249,2019,3,29,11.85
